Field Name,Field Key,Type,Custom Type,Hits (Sampled),Projects Using,Project List,Is Global,Context Count,Status
Risk Category,customfield_21208,option,com.atlassian.jira.plugin.system.customfieldtypes:select,5,1,PMO,True,1,Low Usage
Risk Type,customfield_21206,option,com.atlassian.jira.plugin.system.customfieldtypes:select,5,1,PMO,True,1,Low Usage
Functional Area,customfield_22999,option,com.atlassian.jira.plugin.system.customfieldtypes:select,5,1,PT,True,0,Low Usage
Functional Owner,customfield_22998,array,com.atlassian.jira.plugin.system.customfieldtypes:people,5,1,PT,True,0,Low Usage
End Date (Planned),customfield_16431,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,5,1,ABAHS,True,0,Low Usage
Start Date,customfield_16430,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,5,1,ABAHS,True,0,Low Usage
PagerDuty Incident,customfield_16647,string,com.atlassian.jira.plugin.system.customfieldtypes:url,5,2,"WOS, ZESTY",True,1,Low Usage
Is your application front ended by Akamai?,customfield_15907,option,com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons,4,1,ENG,True,1,Low Usage
Company,customfield_14802,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,4,1,CO,False,1,Low Usage
Impact,customfield_15602,option,com.atlassian.jira.plugin.system.customfieldtypes:select,4,1,PMO,True,2,Low Usage
Other secrets storage,customfield_16056,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,4,1,ENG,True,1,Low Usage
Mitigation Plan,customfield_21209,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,4,1,PMO,True,1,Low Usage
Probability,customfield_21207,option,com.atlassian.jira.plugin.system.customfieldtypes:select,4,1,PMO,True,1,Low Usage
Does it store or process PII data?,customfield_16074,option,com.atlassian.jira.plugin.system.customfieldtypes:select,4,1,ENG,True,1,Low Usage
Requested by,customfield_11114,user,com.atlassian.jira.plugin.system.customfieldtypes:userpicker,4,2,"PHX, SSOL",True,1,Low Usage
Total Email Count,customfield_22816,number,com.atlassian.jira.plugin.system.customfieldtypes:float,3,1,LCM,True,0,Low Usage
Tenable BID,customfield_18399,string,com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield,3,1,TNBL,True,2,Low Usage
Service Desk Contributors,customfield_18360,array,com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker,3,1,ENG,True,1,Low Usage
Date Vendor ID Added,customfield_15616,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,3,1,CO,True,1,Low Usage
Incident Reason,customfield_17635,array,com.atlassian.jira.plugin.system.customfieldtypes:labels,3,3,"ABI, DG, FCP",True,1,Low Usage
Feature Flag,customfield_16763,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,3,2,"DEV210, FCP",True,1,Low Usage
Approver,customfield_22962,array,com.atlassian.jira.plugin.system.customfieldtypes:people,3,1,PT,True,0,Low Usage
Tenable CVE,customfield_18400,string,com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield,3,1,TNBL,True,2,Low Usage
Tenable MS Bulletin,customfield_18406,string,com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield,3,1,TNBL,True,2,Low Usage
Type,customfield_16819,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,3,1,WEBOPS,True,0,Low Usage
Snowflake Table/View,customfield_21139,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,3,1,ABI,True,1,Low Usage
Request Type,customfield_17670,option,com.atlassian.jira.plugin.system.customfieldtypes:select,2,1,LCM,True,0,Low Usage
Channel,customfield_17673,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,2,1,LCM,True,0,Low Usage
Blocked,customfield_13710,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,2,2,"API, PRM",True,1,Low Usage
Approvers,customfield_18096,array,com.atlassian.jira.plugin.system.customfieldtypes:servicedesk-approvers-list,2,1,LCM,True,0,Low Usage
Job Size,customfield_16562,number,com.atlassian.jira.plugin.system.customfieldtypes:float,2,1,ABI,True,1,Low Usage
Other datastore encryption options,customfield_16058,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,2,1,ENG,True,1,Low Usage
Test Case Type,customfield_11440,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,2,1,FIN,True,1,Low Usage
Risk?,customfield_14702,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,2,2,"INT210, PMO",True,1,Low Usage
Domain,customfield_16818,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,2,1,WEBOPS,True,0,Low Usage
Detailed Description,customfield_15952,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,2,1,CT,True,1,Low Usage
Description of Error,customfield_15923,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,2,1,CT,True,1,Low Usage
Major Systems Involved (AHS),customfield_11327,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,2,1,FIN,True,1,Low Usage
Test Plan Link old,customfield_16429,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,2,1,ABAHS,True,0,Low Usage
Public description,customfield_16425,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,2,1,ABAHS,True,0,Low Usage
Roadmap,customfield_16415,option,com.atlassian.jira.plugin.system.customfieldtypes:select,2,1,ABAHS,True,0,Low Usage
Target Audience,customfield_17672,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,1,1,LCM,True,0,Low Usage
Required Artifacts to meet the definition of ready (DOR),customfield_14824,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,1,1,AFIN,True,1,Low Usage
Kafka Topic Name,customfield_21106,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,ABI,True,1,Low Usage
Expedite,customfield_13712,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,1,1,AFIN,True,1,Low Usage
JIRA Epic (Feature) Type,customfield_13714,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,SVS,True,1,Low Usage
Service Market (Archive),customfield_14808,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,CO,False,1,Low Usage
PM Required,customfield_22892,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,1,1,SPRDMP,True,0,Low Usage
Intake Status,customfield_22883,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,1,1,SPRDMP,True,0,Low Usage
Data column / attribute / field,customfield_21308,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,ABI,True,1,Low Usage
2-10 Synergy - Contracts,customfield_20204,number,jira.polaris:boolean,1,1,SPRDMP,True,0,Low Usage
EPM assignment,customfield_21275,array,com.atlassian.jira.plugin.system.customfieldtypes:people,1,1,JID26,True,0,Low Usage
Single-Line Description,customfield_16578,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,ENG,True,1,Low Usage
Are you reporting an issue or bug?,customfield_17667,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,LCM,True,0,Low Usage
Criticality,customfield_16559,number,com.atlassian.jira.plugin.system.customfieldtypes:float,1,1,SSOL,True,1,Low Usage
RCA Decision,customfield_16540,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,FCP,True,1,Low Usage
Gitlab MacOS,customfield_16543,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,1,1,ENG,True,1,Low Usage
Incident Resolved,customfield_17636,option,com.atlassian.jira.plugin.system.customfieldtypes:select,1,1,FCP,True,1,Low Usage
Key Objective,customfield_16304,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,INT210,True,1,Low Usage
Other access rights enforcement,customfield_16053,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,1,1,ENG,True,1,Low Usage
Completion Date,customfield_22964,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,1,1,PT,True,0,Low Usage
Stakeholder Approval,customfield_22963,array,com.atlassian.jira.plugin.system.customfieldtypes:servicedesk-approvers-list,1,1,PT,True,0,Low Usage
