Label,Hits (Sampled),Projects Using,Project List,Status
2-10_DBA,2,1,DBAT,Single-Project
Zeus1.0,2,1,EC,Single-Project
Ftdr_Horizontal_E2E_ZR3,2,2,"EC, PUD",Low
Gitlab_Unclaimed,2,1,EDP,Single-Project
_Regression,2,1,ERPS,Single-Project
cp_groomed,2,1,FCP,Single-Project
QA,2,1,FIN,Single-Project
cash-central-uat-review,2,1,FINE,Single-Project
launch-blocking,2,1,FINE,Single-Project
interruption,2,1,FLEXUS,Single-Project
OGLM,2,1,FLEXUS,Single-Project
ac-parts,2,1,FSA,Single-Project
FTT_PowerBI,2,1,FTT,Single-Project
FTT_Operations,2,2,"FTT, SOR",Low
2-10:NetworkIntegration,2,1,INT210,Single-Project
2-10_NewHome,2,1,INT210,Single-Project
2-10_Self_Service,2,2,"INT210, ISAUTO",Low
Post_2-10_Launch,2,1,MCAE,Single-Project
"needs_triage,",2,1,MSS,Single-Project
test-automation,2,2,"MSS, TESTSOFT",Low
PI6.2019,2,1,NHD,Single-Project
PI7.2019,2,1,NHD,Single-Project
ScaleIt,2,2,"ONDCE, ONDCORE",Low
ODProMS,2,1,ONDCORE,Single-Project
OND_Python_Webhooks,2,1,ONDCORE,Single-Project
Atlas_Launch,2,2,"ONDCORE, WOS",Low
PHP_API,2,1,ONDCORE,Single-Project
PCI2026_OGLM,2,1,PHX,Single-Project
Automation_Found,2,2,"PINT, PRICE",Low
SP_New_Home,2,1,PMO,Single-Project
Legal_Enablement,2,1,PMO,Single-Project
SP-3,2,1,PRM,Single-Project
SPRINT2,2,1,PRM,Single-Project
SPRINT3,2,1,PRM,Single-Project
Gitlab_setup,2,1,PS,Single-Project
PeopleTech_Other,2,1,PT,Single-Project
CSVC,2,1,PUD,Single-Project
ZR3,2,1,PUD,Single-Project
AHSProduct2023,2,1,PUD,Single-Project
SC-Smoke,2,1,SC,Single-Project
Cadence,2,1,SSOL,Single-Project
needsRefinement,2,1,SSOL,Single-Project
UATP1,2,1,SSSE,Single-Project
BrandReview,2,2,"SVS, ZESTY",Low
Vendor=Intrepid,2,1,SVS,Single-Project
SEOProConnect,2,1,SVS,Single-Project
Non-Ecom,2,1,SVS,Single-Project
campaign-ms,2,1,TENXMS,Single-Project
Apollo1.0,2,2,"UX, WOS",Low
NHP_Promo,2,1,WORK210,Single-Project
ConX_CSC_Collab,2,1,WOS,Single-Project
repo:workorders,2,1,WOS,Single-Project
repo:notes,2,1,WOS,Single-Project
repo:assets,2,1,WOS,Single-Project
CSC-WorkOrders,2,1,WOS,Single-Project
2024_Idea_Not_Relevant,1,1,ABAHS,Single-Project
Chemistry_Web_Testing_Idea,1,1,ABAHS,Single-Project
Creative_Team,1,1,ABAHS,Single-Project
Leadership_Request,1,1,ABAHS,Single-Project
Legal_Requirement,1,1,ABAHS,Single-Project
Marketing_Team_Request_2024,1,1,ABAHS,Single-Project
ProductManagment_Web_Testing_Idea,1,1,ABAHS,Single-Project
Research_Team_Test_idea,1,1,ABAHS,Single-Project
SEO_Testing,1,1,ABAHS,Single-Project
Web_Operations_Testing_Idea,1,1,ABAHS,Single-Project
3_11_CVR_Opt,1,1,ABAHS,Single-Project
Data_Security,1,1,ABI,Single-Project
AR-Invoice,1,1,AFIN,Single-Project
API_Integration,1,1,API,Single-Project
DevPortal_M7,1,1,API,Single-Project
InternalDevPortal,1,1,API,Single-Project
DevPortal_M4,1,1,API,Single-Project
DP_NextJS_Regression,1,1,API,Single-Project
FTDRProStripeAccount,1,1,APPL,Single-Project
QE_2-10_NHE1,1,1,APPL,Single-Project
Technology_Roadmap,1,1,ARCHTEAM,Single-Project
Test_Case_Labels,1,1,ARE,Single-Project
promo_validation,1,1,ARE,Single-Project
PCI-Compliance,1,1,ASE,Single-Project
JBOSS,1,1,ASE,Single-Project
Visual,1,1,BC,Single-Project
QE_2-10_E2E_DTC1,1,1,BC,Single-Project
repo:micro-frontends,1,1,BDS,Single-Project
BDS_Internal,1,1,BDS,Single-Project
chem_design_review,1,1,CHEM,Single-Project
customer_ticket,1,1,CI,Single-Project
DP_Regression,1,1,CI,Single-Project
2026_AWS_Risk_remediation,1,1,CLOUDENG,Single-Project
documentation,1,1,CONTIMP,Single-Project
feedback,1,1,CONTIMP,Single-Project
stakeholder-validation,1,1,CONTIMP,Single-Project
validation,1,1,CONTIMP,Single-Project
logic,1,1,CONTIMP,Single-Project
build,1,1,CONTIMP,Single-Project
requirements,1,1,CONTIMP,Single-Project
scoping,1,1,CONTIMP,Single-Project
communication-forms,1,1,CONTIMP,Single-Project
follow-up-compliance,1,1,CONTIMP,Single-Project
pilot,1,1,CONTIMP,Single-Project
power-automate,1,1,CONTIMP,Single-Project
AI-Enablement,1,1,CONTIMP,Single-Project
Copilot,1,1,CONTIMP,Single-Project
Intake,1,1,CONTIMP,Single-Project
Temp-Hire,1,1,CONTIMP,Single-Project
Training,1,1,CONTIMP,Single-Project
Service_MessageGears,1,1,CRMMG,Single-Project
QE_2-10_E2E_MultiYear,1,1,CSC,Single-Project
QE_2-10_MultiYear,1,1,CSC,Single-Project
10.4.2,1,1,CSIRTOLD,Single-Project
10.4.2.1,1,1,CSIRTOLD,Single-Project
12.3.1,1,1,CSIRTOLD,Single-Project
PCI_TRA,1,1,CSIRTOLD,Single-Project
10.2.1,1,1,CSIRTOLD,Single-Project
10.4.1,1,1,CSIRTOLD,Single-Project
10.4.1.1,1,1,CSIRTOLD,Single-Project
5.3.3,1,1,CSIRTOLD,Single-Project
10.7.3,1,1,CSIRTOLD,Single-Project
10.7.2,1,1,CSIRTOLD,Single-Project
12.10.7,1,1,CSIRTOLD,Single-Project
11.5.2,1,1,CSIRTOLD,Single-Project
11.5.2.a,1,1,CSIRTOLD,Single-Project
11.5.2.b,1,1,CSIRTOLD,Single-Project
12.10.5,1,1,CSIRTOLD,Single-Project
12.10.1,1,1,CSIRTOLD,Single-Project
12.10.2,1,1,CSIRTOLD,Single-Project
12.10.4,1,1,CSIRTOLD,Single-Project
12.10.6,1,1,CSIRTOLD,Single-Project
Citrix_VDI,1,1,CSIRTOLD,Single-Project
Logging,1,1,CSIRTOLD,Single-Project
12.10.3,1,1,CSIRTOLD,Single-Project
11.3.1,1,1,CSIRTOLD,Single-Project
11.3.1.a,1,1,CSIRTOLD,Single-Project
11.3.1.b,1,1,CSIRTOLD,Single-Project
Tenable_Vuln,1,1,CSIRTOLD,Single-Project
CSIRT-Backlog,1,1,CSIRTOLD,Single-Project
account_investigation,1,1,CSIRTOLD,Single-Project
proofpoint_tap,1,1,CSIRTOLD,Single-Project
CSIRT-Crowdstrike,1,1,CSIRTOLD,Single-Project
NotesMS,1,1,CSVC,Single-Project
ui_sanity,1,1,CSVC,Single-Project
ui_smoke,1,1,CSVC,Single-Project
Automation_InSprint,1,1,CSVC,Single-Project
DMO,1,1,CSVC,Single-Project
BOX,1,1,CT,Single-Project
CSIRT,1,1,CT,Single-Project
2-10_KTLO,1,1,CT,Single-Project
Contingent,1,1,CT,Single-Project
Workday,1,1,CT,Single-Project
6.4.2,1,1,CT,Single-Project
PCI2026_2-10,1,1,CT,Single-Project
GRC,1,1,CT,Single-Project
SRE,1,1,CT,Single-Project
oci-aws-Phase3,1,1,DBAT,Single-Project
oci-aws-critical,1,1,DBAT,Single-Project
[HCL_Backend],1,1,DEV210,Single-Project
Reports,1,1,EA,Single-Project
Request,1,1,EA,Single-Project
2-10_Integration_UAT_DTC1,1,1,EA,Single-Project
QE_2-10_Handoff,1,1,EA,Single-Project
QE_2-10_Website,1,1,EA,Single-Project
EC_Q1_2023,1,1,EC,Single-Project
Triaged,1,1,EC,Single-Project
ftdr_unlimited_video_chats,1,1,EC,Single-Project
Hera1.0,1,1,EC,Single-Project
repo:service-activity,1,1,EDP,Single-Project
repo:service-research,1,1,EDP,Single-Project
vault-migration,1,1,EDP,Single-Project
CarryOver,1,1,ERPS,Single-Project
Critical_Path_Smoke,1,1,ERPS,Single-Project
Conc_Auto,1,1,FINE,Single-Project
cashcentral2.0,1,1,FINE,Single-Project
NON-QA,1,1,FINE,Single-Project
2-10,1,1,FINENG,Single-Project
AR,1,1,FINENG,Single-Project
CCLC,1,1,FLEXUS,Single-Project
MessageGears,1,1,FLEXUS,Single-Project
Q1,1,1,FSA,Single-Project
ServiceFulfillment_Deprecation,1,1,FSA,Single-Project
form-2052,1,1,FTT,Single-Project
FTT-Exec,1,1,FTT,Single-Project
FTT_People,1,1,FTT,Single-Project
FTT_Jedox,1,1,FTT,Single-Project
FTT_TechEnablement,1,1,FTT,Single-Project
FTT_Analysis,1,1,FTT,Single-Project
FTT_DataEng,1,1,FTT,Single-Project
Feature_Send_Resend_Commun,1,1,HE2E,Single-Project
Feature_Vendor_Capacity,1,1,HE2E,Single-Project
Feature_OPTOUT_OPTIN,1,1,HE2E,Single-Project
Feature_Contract_Holder,1,1,HE2E,Single-Project
Feature_Modity_Coverage,1,1,HE2E,Single-Project
Feature_Vendor_Recommendation,1,1,HE2E,Single-Project
SP_Tech_Integration,1,1,INT210,Single-Project
210_KTLO,1,1,INT210,Single-Project
210futuredated,1,1,INT210,Single-Project
SF_Go-Live,1,1,INT210,Single-Project
2-10_FusionAuth,1,1,INT210,Single-Project
Standards,1,1,JIRAEVO,Single-Project
NeedsDecision,1,1,LCM,Single-Project
New_Home,1,1,MCAE,Single-Project
new_user,1,1,MKA,Single-Project
request,1,1,MKA,Single-Project
Issue,1,1,MKA,Single-Project
Review,1,1,MKA,Single-Project
troubleshoot,1,1,MKA,Single-Project
Automation_backlog_2025,1,1,MSS,Single-Project
MyAccount_2-10_Automation,1,1,MSS,Single-Project
ahs-app-automation,1,1,MSS,Single-Project
TechnicalDebt,1,1,MSS,Single-Project
Accessibility,1,1,MSS,Single-Project
Appliance,1,1,MSS,Single-Project
AppliancePortal,1,1,MSS,Single-Project
GISDocumentation,1,1,NHD,Single-Project
RunTheBusiness,1,1,NHD,Single-Project
UNPLANNED,1,1,NHD,Single-Project
fastfollow,1,1,OND,Single-Project
Optimize-DB-Query,1,1,OND,Single-Project
