Label,Hits (Sampled),Projects Using,Project List,Status
BRP_2017_2,0,0,,Unused
BRP_2017_3,0,0,,Unused
BRP_2017_4,0,0,,Unused
BRP_2017_5,0,0,,Unused
BRP_2018_1,0,0,,Unused
BRP_2018_2,0,0,,Unused
BRP_2018_3,0,0,,Unused
BRP_2018_4,0,0,,Unused
BRP_2018_5,0,0,,Unused
BRP_2019_1,0,0,,Unused
bug,0,0,,Unused
Bug,0,0,,Unused
bug-reviewed,0,0,,Unused
bugfix,0,0,,Unused
bugsnag,0,0,,Unused
"build,",0,0,,Unused
build1,0,0,,Unused
BulkOperation,0,0,,Unused
BulkOperationsUAT,0,0,,Unused
business-form-23,0,0,,Unused
business-form-255,0,0,,Unused
buwelo,0,0,,Unused
BVOIP,0,0,,Unused
BYO,0,0,,Unused
c,0,0,,Unused
C10384,0,0,,Unused
C10385,0,0,,Unused
C10386,0,0,,Unused
C10387,0,0,,Unused
C10746,0,0,,Unused
C10747,0,0,,Unused
C10748,0,0,,Unused
C10749,0,0,,Unused
C10750,0,0,,Unused
C10752,0,0,,Unused
C10753,0,0,,Unused
C10754,0,0,,Unused
caas1.0,0,0,,Unused
CaaS_2.0_Deployment,0,0,,Unused
CAAS_2.0_KAFKA_CONSUMER,0,0,,Unused
CAAS_2.0_KAFKA_PRODUCER,0,0,,Unused
CAAS_2.0_PRODUCTION,0,0,,Unused
CAAS_2.0_STAGING,0,0,,Unused
CAAS_2.0_TRAINING,0,0,,Unused
cabling,0,0,,Unused
CAG,0,0,,Unused
call-details,0,0,,Unused
call-disposition,0,0,,Unused
call-scheduling,0,0,,Unused
call-transfer,0,0,,Unused
Call_Disposition,0,0,,Unused
call_transfer,0,0,,Unused
CallMax,0,0,,Unused
calloutcomes,0,0,,Unused
Campaign,0,0,,Unused
CampaignsMS,0,0,,Unused
Can't,0,0,,Unused
cancel-dispatch,0,0,,Unused
Cancel-Transfer,0,0,,Unused
Cancel_data_reporting,0,0,,Unused
Cancel_Transfer_UAT,0,0,,Unused
Cancel_Xfer_2.0,0,0,,Unused
Cancellation,0,0,,Unused
Cancellation_GL,0,0,,Unused
Cancellations,0,0,,Unused
cancelled,0,0,,Unused
CancelXfer_Hypercare,0,0,,Unused
Candu,0,0,,Unused
capacity-analysis,0,0,,Unused
CAPopUp,0,0,,Unused
Carpenter,0,0,,Unused
Cartography,0,0,,Unused
casb,0,0,,Unused
casb_alert,0,0,,Unused
case-EOM,0,0,,Unused
Case-QATeam,0,0,,Unused
case_survey,0,0,,Unused
caseHVAC,0,0,,Unused
CasePC,0,0,,Unused
CaseREOrders,0,0,,Unused
CaseReporting,0,0,,Unused
CasesRESR,0,0,,Unused
cash-central,0,0,,Unused
cashout-ms,0,0,,Unused
CashOutMS,0,0,,Unused
cashposting,0,0,,Unused
CBA_required,0,0,,Unused
CC_Tokenization,0,0,,Unused
CCMP,0,0,,Unused
ccmp_listeners,0,0,,Unused
ccp_p1,0,0,,Unused
CCPA,0,0,,Unused
CDC,0,0,,Unused
CDP,0,0,,Unused
CDP-V2,0,0,,Unused
CDW,0,0,,Unused
central-ownership,0,0,,Unused
Central-Repository,0,0,,Unused
Certificates,0,0,,Unused
CF1,0,0,,Unused
CG_Ticket,0,0,,Unused
change_request,0,0,,Unused
changeinstorypoints,0,0,,Unused
Chat,0,0,,Unused
chat,0,0,,Unused
ChatApplication,0,0,,Unused
ChatP0,0,0,,Unused
ChatP1,0,0,,Unused
ChatP1PostLaunch,0,0,,Unused
ChatP2,0,0,,Unused
ChatP3,0,0,,Unused
Check_Support,0,0,,Unused
Checkmarx,0,0,,Unused
checks,0,0,,Unused
Chem_Design,0,0,,Unused
chemistry,0,0,,Unused
Chemistry_S10,0,0,,Unused
Chemistry_S11,0,0,,Unused
Chemistry_S12,0,0,,Unused
Chemistry_S13,0,0,,Unused
Chemistry_S2,0,0,,Unused
Chemistry_S3,0,0,,Unused
Chemistry_S4,0,0,,Unused
Chemistry_S5,0,0,,Unused
Chemistry_S6,0,0,,Unused
Chemistry_S7,0,0,,Unused
Chemistry_S8,0,0,,Unused
child:{{destinationIssue.key}},0,0,,Unused
chime-2.0.7,0,0,,Unused
chime-hypercare,0,0,,Unused
chime-sdk,0,0,,Unused
ChoosePayment,0,0,,Unused
CI-APL_Purchasing,0,0,,Unused
CI-AssocMgmt,0,0,,Unused
CI-AuthRegEnhancements,0,0,,Unused
CI-Contract,0,0,,Unused
CI-CustSelfService,0,0,,Unused
CI-Item,0,0,,Unused
CI-ProConnect,0,0,,Unused
CI-RE_Optimization,0,0,,Unused
CI-Renewals,0,0,,Unused
CI-SimplifyStatus,0,0,,Unused
CI-Streem,0,0,,Unused
CI-Transaction_Automation,0,0,,Unused
CICD_Scan_bugs,0,0,,Unused
CICD_Scan_Dupe_3,0,0,,Unused
CICD_Scan_n_orig,0,0,,Unused
CICD_scan_rollout,0,0,,Unused
CICD_VARIABLES,0,0,,Unused
CIL,0,0,,Unused
cip_cleanup,0,0,,Unused
cip_observability,0,0,,Unused
circuit,0,0,,Unused
CircuitBreakerWork,0,0,,Unused
Cisco,0,0,,Unused
CiscoISE,0,0,,Unused
CISO,0,0,,Unused
Citrix,0,0,,Unused
CL_KTLO,0,0,,Unused
Cleanup,0,0,,Unused
clearsource,0,0,,Unused
click-to-video,0,0,,Unused
click_to_cancel,0,0,,Unused
Clickpoint,0,0,,Unused
Clickpoint_Order_Listener,0,0,,Unused
client,0,0,,Unused
CloudSysAdmin_OKR,0,0,,Unused
Clubhouse,0,0,,Unused
CM-Core,0,0,,Unused
CMDB,0,0,,Unused
Code-Quality,0,0,,Unused
code-red,0,0,,Unused
Code_Work,0,0,,Unused
CodeSecurity,0,0,,Unused
codesplit_bug,0,0,,Unused
coe-inc9845,0,0,,Unused
coe_inc-2929,0,0,,Unused
coe_inc-4942,0,0,,Unused
coe_inc-7489,0,0,,Unused
coe_inc_52961,0,0,,Unused
CommercialPartners,0,0,,Unused
commercialpartners,0,0,,Unused
commercialpartnerships,0,0,,Unused
common/v2,0,0,,Unused
"comms,",0,0,,Unused
Communication_Order_Listener,0,0,,Unused
CommunicationMicroservice,0,0,,Unused
Communications,0,0,,Unused
Communications|CallTree|DistributionLists,0,0,,Unused
COMPLETE,0,0,,Unused
Compliance,0,0,,Unused
compliance,0,0,,Unused
Compliance2025,0,0,,Unused
Compliance_Relapse,0,0,,Unused
component-missing,0,0,,Unused
Components_ContractorPortal,0,0,,Unused
conc_finance_uat,0,0,,Unused
concession,0,0,,Unused
concession_automation,0,0,,Unused
ConcessionAuto_HE2E,0,0,,Unused
ConcessionAuto_VE2E,0,0,,Unused
"ConcessionAuto_VE2E,",0,0,,Unused
Concur,0,0,,Unused
confidential-data,0,0,,Unused
confim,0,0,,Unused
Confirmation_Page,0,0,,Unused
Confirmation_Page_2025,0,0,,Unused
Connect,0,0,,Unused
connect-assistant,0,0,,Unused
Connect_Recordings,0,0,,Unused
connectivity,0,0,,Unused
connectivity-issues,0,0,,Unused
connectivity-messaging,0,0,,Unused
ConnectIVR,0,0,,Unused
CONSUMER_SITE_UI,0,0,,Unused
Contacts,0,0,,Unused
container_vulnerability,0,0,,Unused
Content,0,0,,Unused
Content_LandingPages,0,0,,Unused
Continous-Improvements,0,0,,Unused
contract,0,0,,Unused
Contract,0,0,,Unused
contract-issue,0,0,,Unused
Contract-KTLO,0,0,,Unused
Contract_020723,0,0,,Unused
Contract_Apollo_VerticalTesting_Bug,0,0,,Unused
Contract_Limit_Notification,0,0,,Unused
Contract_Order_Listener,0,0,,Unused
contractcancellation,0,0,,Unused
contractcancellation80,0,0,,Unused
contractcancellation84,0,0,,Unused
ContractDetails,0,0,,Unused
ContractHighlights_UAT,0,0,,Unused
ContractMicroserivce,0,0,,Unused
Contractmsbacklogcleanup,0,0,,Unused
Contractor&Service_Enablement,0,0,,Unused
Contractor-Experience-Inits,0,0,,Unused
Contractor-UX,0,0,,Unused
Contractor_MessageGears,0,0,,Unused
contractor_microsites,0,0,,Unused
Contractor_Notes,0,0,,Unused
Contractor_Notes_Horizontal,0,0,,Unused
ContractorChoice,0,0,,Unused
contractorhighlights,0,0,,Unused
ContractorMS,0,0,,Unused
contracts103824684,0,0,,Unused
contracts200,0,0,,Unused
contracts202,0,0,,Unused
Contracts_API,0,0,,Unused
Contracts_APU,0,0,,Unused
contrel_csc,0,0,,Unused
conversion_enhancement,0,0,,Unused
ConX_ParkingLot,0,0,,Unused
ConX_PausedForApollo,0,0,,Unused
ConX_Reporting,0,0,,Unused
copilot,0,0,,Unused
copilot-readout,0,0,,Unused
CoreCats_SP,0,0,,Unused
corecats_sp,0,0,,Unused
CoreCraft_2026_Techroadmap,0,0,,Unused
CoreCraft_To_Prioritize,0,0,,Unused
Coreservice_CI,0,0,,Unused
Corp_IT,0,0,,Unused
CorpIT_Escalation,0,0,,Unused
cost-savings,0,0,,Unused
Cost_Optimization,0,0,,Unused
Cost_Reimagination,0,0,,Unused
Council,0,0,,Unused
Coupa,0,0,,Unused
coupa-full-rollout,0,0,,Unused
coupa-phase-2,0,0,,Unused
Coupa_P3_UAT,0,0,,Unused
Coupa_Phase3_VE2E,0,0,,Unused
Coupa_SIM,0,0,,Unused
Coverage_Prediction,0,0,,Unused
CoveragePrediction,0,0,,Unused
coverages,0,0,,Unused
Coverages,0,0,,Unused
CP_ATG_Retirement,0,0,,Unused
CP_ATG_Retirement_Epic,0,0,,Unused
CP_CANCEL_STATUS_DASHBOARD,0,0,,Unused
CP_CSC_Collab,0,0,,Unused
CP_HyperCare,0,0,,Unused
CP_latent,0,0,,Unused
CP_Regression,0,0,,Unused
CP_UX,0,0,,Unused
CPLaunch,0,0,,Unused
cr1,0,0,,Unused
cr1y20,0,0,,Unused
cr2y20,0,0,,Unused
CR3Y20,0,0,,Unused
crash,0,0,,Unused
Create,0,0,,Unused
CreateLead,0,0,,Unused
credit-memo,0,0,,Unused
CreditedInfo,0,0,,Unused
CreditMemoARAccountsMS,0,0,,Unused
CreditMemoTransactionGLAccount,0,0,,Unused
CreditProrationE2E,0,0,,Unused
Cresta,0,0,,Unused
Critical-Debt,0,0,,Unused
CRM,0,0,,Unused
crm,0,0,,Unused
Cross-Functional,0,0,,Unused
Crowdstrike,0,0,,Unused
crowdstrike_exploitable_active_vulnerability,0,0,,Unused
CRQ000000150297,0,0,,Unused
CRQ000000150823,0,0,,Unused
CRQ000000150840,0,0,,Unused
CRQ000000150854,0,0,,Unused
CRQ000000150901,0,0,,Unused
CRQ000000150964,0,0,,Unused
CRQ000000150968,0,0,,Unused
CRQ000000150994,0,0,,Unused
CRQ000000151079,0,0,,Unused
CRQ000000151787,0,0,,Unused
CSC,0,0,,Unused
CSC-Assets,0,0,,Unused
csc-autho-api,0,0,,Unused
csc-authorization-ms,0,0,,Unused
CSC-Comms,0,0,,Unused
CSC-ContractCancellation,0,0,,Unused
CSC-contractCopy,0,0,,Unused
CSC-Contracts,0,0,,Unused
CSC-Coverages,0,0,,Unused
CSC-CustomerDelete,0,0,,Unused
CSC-CustomersMS,0,0,,Unused
CSC-Demo,0,0,,Unused
CSC-DispatchMS,0,0,,Unused
CSC-Documents,0,0,,Unused
CSC-Notes,0,0,,Unused
CSC-Priority,0,0,,Unused
csc-qa-backlog,0,0,,Unused
CSC-Regression,0,0,,Unused
CSC-StreemMS,0,0,,Unused
CSC-Test-Automation,0,0,,Unused
CSC-Types,0,0,,Unused
CSC-UX,0,0,,Unused
CSC-Vendors,0,0,,Unused
CSC_Angular,0,0,,Unused
CSC_CCP_PART1,0,0,,Unused
CSC_Dependency,0,0,,Unused
CSC_IMPROVEMENT,0,0,,Unused
CSC_MFEs,0,0,,Unused
CSC_Priority,0,0,,Unused
cscprod0822,0,0,,Unused
cscprod102821,0,0,,Unused
CSCUI#131874685,0,0,,Unused
CSCVerticalConcession,0,0,,Unused
CSIRT-CYBERARK,0,0,,Unused
CSIRT-DigiCert,0,0,,Unused
csirt-pagerduty,0,0,,Unused
CSP-Coupa-E2E,0,0,,Unused
csp_address_correction,0,0,,Unused
CSP_HVAC_UI,0,0,,Unused
CSR_UAT,0,0,,Unused
CSVC-Q1,0,0,,Unused
CSVC-Q2,0,0,,Unused
CT_Intake,0,0,,Unused
CT_Operational_Improvements,0,0,,Unused
ctrel,0,0,,Unused
Customer,0,0,,Unused
customer,0,0,,Unused
customer-care-guidance,0,0,,Unused
Customer-Experience,0,0,,Unused
customer-facing,0,0,,Unused
customer360,0,0,,Unused
customer_request,0,0,,Unused
CustomerAPI,0,0,,Unused
CustomerDetails,0,0,,Unused
CustomerMS,0,0,,Unused
CustomersAPI,0,0,,Unused
CVR,0,0,,Unused
CX-2021,0,0,,Unused
CX-2022,0,0,,Unused
CX-2022-Q1,0,0,,Unused
CX-2022-Q2,0,0,,Unused
CX-2022-Q3,0,0,,Unused
CX-2022-Q4,0,0,,Unused
CX-2023,0,0,,Unused
CX-2023-Q1,0,0,,Unused
CX-2023-Q2,0,0,,Unused
CX-2023-Q3,0,0,,Unused
CX-2023-Q4,0,0,,Unused
cx_enhancement,0,0,,Unused
cy1y20,0,0,,Unused
Cyberark,0,0,,Unused
CyberArk,0,0,,Unused
CyberSecurity,0,0,,Unused
Cypress,0,0,,Unused
d,0,0,,Unused
dark-mode,0,0,,Unused
DAS,0,0,,Unused
DASH,0,0,,Unused
dashboard,0,0,,Unused
"data,",0,0,,Unused
data-analysis,0,0,,Unused
data-connection,0,0,,Unused
data-gap,0,0,,Unused
data-sync-fix,0,0,,Unused
Data-Validation,0,0,,Unused
Data_Distillery,0,0,,Unused
Data_Science,0,0,,Unused
Data_Sync:Identity_SS->STAR,0,0,,Unused
Data_Sync:Identity_STAR->SS,0,0,,Unused
Data_Sync:Product_Sales_STAR->SS,0,0,,Unused
DataAnaylsis,0,0,,Unused
Database,0,0,,Unused
DataBusinessRules,0,0,,Unused
DataCleanUp,0,0,,Unused
DataGovernance,0,0,,Unused
DataLoft,0,0,,Unused
DataLoft:Admin,0,0,,Unused
datascience,0,0,,Unused
DataSourceResearch,0,0,,Unused
Dates,0,0,,Unused
Day1,0,0,,Unused
Day2,0,0,,Unused
db_office_hours_09_15_2021,0,0,,Unused
dba,0,0,,Unused
DBA,0,0,,Unused
DBA-OFFICE-HOURS-11172021,0,0,,Unused
dba_office_09_22_2021,0,0,,Unused
dba_office_hours06162022,0,0,,Unused
dba_office_hours20210505,0,0,,Unused
DBA_OFFICE_HOURS_01042022,0,0,,Unused
DBA_OFFICE_HOURS_01202022,0,0,,Unused
dba_office_hours_01252022,0,0,,Unused
dba_office_hours_01272022,0,0,,Unused
dba_office_hours_02012022,0,0,,Unused
dba_office_hours_02032022,0,0,,Unused
DBA_OFFICE_HOURS_0208,0,0,,Unused
DBA_OFFICE_HOURS_02212022,0,0,,Unused
DBA_OFFICE_HOURS_0224,0,0,,Unused
DBA_OFFICE_HOURS_02_15_2022,0,0,,Unused
dba_office_hours_03082022,0,0,,Unused
dba_office_hours_03102022,0,0,,Unused
DBA_OFFICE_HOURS_03152022,0,0,,Unused
dba_office_hours_03172022,0,0,,Unused
DBA_OFFICE_HOURS_03222022,0,0,,Unused
DBA_OFFICE_HOURS_03242022,0,0,,Unused
DBA_OFFICE_HOURS_03292022,0,0,,Unused
DBA_OFFICE_HOURS_03312022,0,0,,Unused
dba_office_hours_03_03_2022,0,0,,Unused
DBA_OFFICE_HOURS_04052022,0,0,,Unused
dba_office_hours_04122022,0,0,,Unused
dba_office_hours_04142022,0,0,,Unused
DBA_OFFICE_HOURS_04192022,0,0,,Unused
DBA_OFFICE_HOURS_04212022,0,0,,Unused
DBA_OFFICE_HOURS_04262022,0,0,,Unused
DBA_OFFICE_HOURS_04282022,0,0,,Unused
dba_office_hours_04_07_2022,0,0,,Unused
dba_office_hours_05032022,0,0,,Unused
DBA_OFFICE_HOURS_05122022,0,0,,Unused
DBA_OFFICE_HOURS_05172022,0,0,,Unused
dba_office_hours_05192021,0,0,,Unused
DBA_OFFICE_HOURS_05242022,0,0,,Unused
DBA_OFFICE_HOURS_05262021,0,0,,Unused
DBA_OFFICE_HOURS_05312022,0,0,,Unused
dba_office_hours_06072022,0,0,,Unused
dba_office_hours_06092022,0,0,,Unused
dba_office_hours_06142022,0,0,,Unused
dba_office_hours_06162021,0,0,,Unused
dba_office_hours_06212022,0,0,,Unused
DBA_OFFICE_HOURS_06232021,0,0,,Unused
DBA_OFFICE_HOURS_06302021,0,0,,Unused
dba_office_hours_07052022,0,0,,Unused
dba_office_hours_07122022,0,0,,Unused
DBA_OFFICE_HOURS_072021,0,0,,Unused
DBA_OFFICE_HOURS_072821,0,0,,Unused
dba_office_hours_07_07_21,0,0,,Unused
dba_office_hours_07_14_2021,0,0,,Unused
dba_office_hours_07_20_2021,0,0,,Unused
DBA_OFFICE_HOURS_07_28_2021,0,0,,Unused
dba_office_hours_08042021,0,0,,Unused
dba_office_hours_08112021,0,0,,Unused
DBA_OFFICE_HOURS_08182021,0,0,,Unused
dba_office_hours_08252021,0,0,,Unused
dba_office_hours_09012021,0,0,,Unused
dba_office_hours_09082021,0,0,,Unused
dba_office_hours_09152021,0,0,,Unused
DBA_OFFICE_HOURS_09292021,0,0,,Unused
DBA_OFFICE_HOURS_10062021,0,0,,Unused
DBA_OFFICE_HOURS_10132021,0,0,,Unused
DBA_OFFICE_HOURS_10202021,0,0,,Unused
DBA_OFFICE_HOURS_10272021,0,0,,Unused
DBA_OFFICE_HOURS_11032021,0,0,,Unused
DBA_OFFICE_HOURS_11102021,0,0,,Unused
DBA_OFFICE_HOURS_11232021,0,0,,Unused
DBA_OFFICE_HOURS_12012021,0,0,,Unused
DBA_OFFICE_HOURS_12082021,0,0,,Unused
DBA_OFFICE_HOURS_12152021,0,0,,Unused
dba_office_hours_20210217,0,0,,Unused
dba_office_hours_20210223,0,0,,Unused
dba_office_hours_20210224,0,0,,Unused
dba_office_hours_20210303,0,0,,Unused
dba_office_hours_20210310,0,0,,Unused
dba_office_hours_20210317,0,0,,Unused
dba_office_hours_20210324,0,0,,Unused
dba_office_hours_20210325,0,0,,Unused
dba_office_hours_20210331,0,0,,Unused
dba_office_hours_20210407,0,0,,Unused
dba_office_hours_20210414,0,0,,Unused
dba_office_hours_20210421,0,0,,Unused
dba_office_hours_20210428,0,0,,Unused
dba_office_hours_20210505,0,0,,Unused
dba_office_hours_20210519,0,0,,Unused
dba_office_hours_20210526,0,0,,Unused
dba_office_hours_20210818,0,0,,Unused
dba_office_hours_20210825,0,0,,Unused
dba_office_hours_20210903,0,0,,Unused
dba_office_hours_20210908,0,0,,Unused
dba_office_hours_20210915,0,0,,Unused
dba_office_hours_20210922,0,0,,Unused
dba_office_hours_20211006,0,0,,Unused
dba_office_hours_20211110,0,0,,Unused
dba_office_hours_20211117,0,0,,Unused
dba_office_hours_20211213,0,0,,Unused
dba_office_hours_2021428,0,0,,Unused
dba_office_hours_2021512,0,0,,Unused
dba_office_hours_20220215,0,0,,Unused
dba_office_hours_20220224,0,0,,Unused
dba_office_hours_20220603,0,0,,Unused
dba_office_hours_5192021,0,0,,Unused
DBA_OFFICE_HOURS_6022021,0,0,,Unused
dba_office_hours_6092021,0,0,,Unused
DBA_OFFICE_HOURS_6162021,0,0,,Unused
dba_problem_solving,0,0,,Unused
DBAT_OFFICE_HOURS_082521,0,0,,Unused
DBAT_OFFICE_HOURS_71421,0,0,,Unused
dbdeployment,0,0,,Unused
DBScripts,0,0,,Unused
dbt,0,0,,Unused
dbt_config_change,0,0,,Unused
dbt_macro,0,0,,Unused
dbt_new_user,0,0,,Unused
dbt_reorg,0,0,,Unused
dbt_test_change,0,0,,Unused
DCD,0,0,,Unused
DE,0,0,,Unused
DE_Platform,0,0,,Unused
decision,0,0,,Unused
deeplinks,0,0,,Unused
Deferred,0,0,,Unused
delete-calls,0,0,,Unused
Delight,0,0,,Unused
Deliverability,0,0,,Unused
Delta,0,0,,Unused
demo,0,0,,Unused
Demo,0,0,,Unused
demofeedback,0,0,,Unused
DenialLetterIssue,0,0,,Unused
Dependency,0,0,,Unused
Dependent,0,0,,Unused
deploy_to_prod,0,0,,Unused
deployed,0,0,,Unused
deployed_to_test,0,0,,Unused
deployinator,0,0,,Unused
Deployment,0,0,,Unused
deployment-blocker,0,0,,Unused
deployment_bug,0,0,,Unused
deployment_bug_hotfix_not_needed,0,0,,Unused
deployment_bug_hotfix_required,0,0,,Unused
DES,0,0,,Unused
DES-KTLO,0,0,,Unused
design,0,0,,Unused
Design,0,0,,Unused
DesignReview,0,0,,Unused
desktop,0,0,,Unused
Detai,0,0,,Unused
Details,0,0,,Unused
dev,0,0,,Unused
Dev-QESupport,0,0,,Unused
dev-sync,0,0,,Unused
Dev_Agent_Shadow,0,0,,Unused
dev_only,0,0,,Unused
Dev_Ops,0,0,,Unused
developer-tested,0,0,,Unused
Development,0,0,,Unused
DevPortal_API_Integration,0,0,,Unused
DevPortal_APIIntegration,0,0,,Unused
DevPortal_CI,0,0,,Unused
DevPortal_Deferred,0,0,,Unused
DevPortal_GNG,0,0,,Unused
DevPortal_M1,0,0,,Unused
DevPortal_M1_UAT,0,0,,Unused
devportal_M2.1,0,0,,Unused
devportal_M2.2,0,0,,Unused
DevPortal_M2_UAT,0,0,,Unused
DevPortal_M2_Usability,0,0,,Unused
DevPortal_M3,0,0,,Unused
DevPortal_M6,0,0,,Unused
DevPortal_M8,0,0,,Unused
DevTestDone,0,0,,Unused
DevTestingRequired,0,0,,Unused
DevTools,0,0,,Unused
dfr_reporting,0,0,,Unused
DG_Quality,0,0,,Unused
DG_Quality_NullCheck,0,0,,Unused
DHCP,0,0,,Unused
digitizingpayments_Horizontal,0,0,,Unused
Dipatch-Queue-CP,0,0,,Unused
disabling_premium,0,0,,Unused
Disaster_Recovery,0,0,,Unused
DisbursementMSAPI,0,0,,Unused
Discovery,0,0,,Unused
discovery,0,0,,Unused
DISCOVERY,0,0,,Unused
"discovery,",0,0,,Unused
Dispatch_Email_CI,0,0,,Unused
Dispatch_Queue,0,0,,Unused
DispatchEmails,0,0,,Unused
DispatcherTool,0,0,,Unused
Dispatches,0,0,,Unused
dispatches#142652569,0,0,,Unused
DispatchHistory,0,0,,Unused
DispatchMe,0,0,,Unused
DispatchMe_Integrations,0,0,,Unused
DispatchMeDelay,0,0,,Unused
DispatchMeIssues,0,0,,Unused
DispatchMeRebuild,0,0,,Unused
DispathMe,0,0,,Unused
dl2021,0,0,,Unused
DL2021,0,0,,Unused
DL_CI,0,0,,Unused
DL_DevOps,0,0,,Unused
DL_Infrastructure,0,0,,Unused
DL_intake,0,0,,Unused
DL_KTLO,0,0,,Unused
DL_Operations,0,0,,Unused
DL_Platform,0,0,,Unused
DL_PLatform,0,0,,Unused
DLP,0,0,,Unused
dms,0,0,,Unused
DNS,0,0,,Unused
docker,0,0,,Unused
document-share,0,0,,Unused
Documentation,0,0,,Unused
Documentation-Repository,0,0,,Unused
Domain,0,0,,Unused
DOPE,0,0,,Unused
DOPE-UX,0,0,,Unused
Dope1.1,0,0,,Unused
DopeBug,0,0,,Unused
DopeTest,0,0,,Unused
download,0,0,,Unused
dp_10_23,0,0,,Unused
dp_m3,0,0,,Unused
dp_m4,0,0,,Unused
Draft,0,0,,Unused
Dropbox,0,0,,Unused
DSML-CP-ES-AirflowJob-Technical-NonProd,0,0,,Unused
DSMLIdeas,0,0,,Unused
DSMLPlatformRoadmap,0,0,,Unused
dtc,0,0,,Unused
dtc_enablement,0,0,,Unused
Duo,0,0,,Unused
DUP,0,0,,Unused
duplicate,0,0,,Unused
Dynamic_Discounting,0,0,,Unused
Dynamic_Pricing_Exec_Timeline,0,0,,Unused
dynamiccontract,0,0,,Unused
DynamicPricing,0,0,,Unused
DynPricingM4,0,0,,Unused
E2E,0,0,,Unused
E2E-Exclude,0,0,,Unused
E2E-Standalone,0,0,,Unused
e2eroadmap,0,0,,Unused
E2ESalesforce,0,0,,Unused
E2EVendorRecommendation,0,0,,Unused
EA_Analytics,0,0,,Unused
EA_Data_Governance,0,0,,Unused
EA_Data_Request,0,0,,Unused
EA_HVAC_Upgrade,0,0,,Unused
EA_OnDemand,0,0,,Unused
EA_Predictive_Modeling,0,0,,Unused
EA_Research,0,0,,Unused
EA_Urgent,0,0,,Unused
EAC,0,0,,Unused
ear,0,0,,Unused
EC2,0,0,,Unused
ecom-mobile,0,0,,Unused
ecom-web,0,0,,Unused
Ecom_ContractOrderListener_Issues,0,0,,Unused
Ecom_CP_Support,0,0,,Unused
Ecom_Devops,0,0,,Unused
Ecom_Middleware,0,0,,Unused
Ecom_OrdersServiceIssues,0,0,,Unused
Ecom_Outside,0,0,,Unused
Ecom_Rapid_Optimizations,0,0,,Unused
Ecom_Sales_Funnel,0,0,,Unused
Ecom_SalesFunnel,0,0,,Unused
Ecomm,0,0,,Unused
EDBchange,0,0,,Unused
edd,0,0,,Unused
Edge,0,0,,Unused
EDM,0,0,,Unused
edm,0,0,,Unused
edp_q1_2026,0,0,,Unused
EDP_Q1_2027,0,0,,Unused
EDP_Q2_2027,0,0,,Unused
EDP_Q42025,0,0,,Unused
efd,0,0,,Unused
EForms,0,0,,Unused
EFS/LGO,0,0,,Unused
Eligibility,0,0,,Unused
eligible-for-service,0,0,,Unused
ELT,0,0,,Unused
Email,0,0,,Unused
email,0,0,,Unused
Email_Acquisition,0,0,,Unused
email_alert,0,0,,Unused
Email_Deliverability,0,0,,Unused
email_signup_flow,0,0,,Unused
EmailNeeded,0,0,,Unused
embed,0,0,,Unused
embedded-dashboards,0,0,,Unused
Emergent,0,0,,Unused
Enablement,0,0,,Unused
enablement,0,0,,Unused
ENG_Response_Needed,0,0,,Unused
engagement,0,0,,Unused
EngDiscuss,0,0,,Unused
engineering-priority,0,0,,Unused
enhancement,0,0,,Unused
Enhancement,0,0,,Unused
Enhancement;Won't,0,0,,Unused
enhancements,0,0,,Unused
EnhanceNotesDisplay,0,0,,Unused
env-issue,0,0,,Unused
EOL,0,0,,Unused
EPIC_uat,0,0,,Unused
EPL_Trade_VendorAdavncedSearch,0,0,,Unused
EPL_Trade_VendorAdvancedSearch,0,0,,Unused
EPL_Trade_VendorProfile,0,0,,Unused
EPL_Trade_VendorSelection,0,0,,Unused
Equip_Refresh,0,0,,Unused
EquipmentOrderingIssues,0,0,,Unused
EquipmentOrderIssues,0,0,,Unused
ER-Frontend-Phase1,0,0,,Unused
ER_APIError,0,0,,Unused
ER_CompletionDate,0,0,,Unused
ER_CSC_Primary?,0,0,,Unused
ER_FE,0,0,,Unused
ER_FE_1,0,0,,Unused
ER_Integration,0,0,,Unused
ER_KTLO,0,0,,Unused
ER_NextSprint,0,0,,Unused
ER_P3_Usability,0,0,,Unused
EricOlesen,0,0,,Unused
ERMFEV0.6.20,0,0,,Unused
ERMFEv0.6.23,0,0,,Unused
ERMFEv0.6.25,0,0,,Unused
ERPS_GRC,0,0,,Unused
ErrorHandling,0,0,,Unused
es.ahs.com,0,0,,Unused
eService,0,0,,Unused
Estimate,0,0,,Unused
estimate-controller-ms,0,0,,Unused
estimate-ms,0,0,,Unused
EstimateMS,0,0,,Unused
EstimateReview-P1,0,0,,Unused
EstimateReviewP3_1_Performance,0,0,,Unused
EstReview_P3_1_Regression,0,0,,Unused
EstReview_P3_3,0,0,,Unused
EstReviewP1,0,0,,Unused
EstReviewP1FastFollow,0,0,,Unused
EstReviewP2,0,0,,Unused
EstReviewP3,0,0,,Unused
EstReviewP3_1,0,0,,Unused
EstReviewP3_2,0,0,,Unused
EstReviewP3_3,0,0,,Unused
EstReviewP3_4,0,0,,Unused
EstReviewRTB,0,0,,Unused
ETHICS_CSIRT_CASE,0,0,,Unused
ETL,0,0,,Unused
Evergreen_Opt_In,0,0,,Unused
