"Name","Created","Updated"
"[For Finance] Copy of AHS STARWars 10.25","2020-06-04T10:02:19.888-0500","2020-10-14T18:25:06.379-0500"
"FTDRPROJ: Change Management workflow for Jira Service Management","2023-03-15T16:57:40.326-0500","2023-03-15T16:57:40.371-0500"
"FTDRPROJ Core Workflow","2023-03-14T17:02:23.306-0500","2023-03-16T12:40:26.226-0500"
"FTDRPROJ: Incident Management workflow for Jira Service Management","2023-03-15T16:57:40.430-0500","2023-03-15T16:57:40.478-0500"
"FTDRPROJ: Jira Service Management default workflow","2023-03-15T16:57:40.696-0500","2023-03-15T16:57:40.743-0500"
"FTDRPROJ: Post-Incident Review workflow for Jira Service Management","2023-03-15T16:57:40.831-0500","2023-03-15T16:57:40.867-0500"
"FTDRPROJ: Problem Management workflow for Jira Service Management","2023-03-15T16:57:40.534-0500","2023-03-15T16:57:40.635-0500"
"FTDRPROJ: Service Request Fulfilment with Approvals workflow for Jira Service Management","2023-03-15T16:57:40.218-0500","2023-03-15T16:57:40.267-0500"
"FTDRPROJ: Service Request Fulfilment workflow for Jira Service Management","2023-03-15T16:57:40.077-0500","2023-03-15T16:57:40.148-0500"
"Generic - 3-Step (1-Approve) JSM Service Request Fulfilment","2021-10-08T11:25:04.270-0500","2023-06-30T04:13:03.684-0500"
"Generic - 4-Step JSM Service Request Fulfilment","2025-09-03T14:59:54.214-0500","2025-09-09T13:19:14.072-0500"
"Generic Change Management workflow for Jira Service Desk","2020-11-11T17:55:57.529-0600","2020-11-11T17:55:57.529-0600"
"Generic Incident Management workflow for Jira Service Desk v1","2020-12-11T16:24:59.322-0600","2020-12-11T16:25:28.581-0600"
"Generic Incident Management workflow for Jira Service Desk v2","2020-12-11T16:13:28.472-0600","2023-06-07T16:19:16.369-0500"
"Generic Jira Service Desk default workflow","2020-11-11T17:57:25.560-0600","2021-01-21T17:58:24.895-0600"
"Generic Problem Management workflow for Jira Service Desk v1","2020-12-11T16:25:40.274-0600","2020-12-11T16:25:53.906-0600"
"Generic Problem Management workflow for Jira Service Desk v2","2020-12-11T16:16:55.754-0600","2023-06-07T16:20:00.400-0500"
"Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2020-11-11T17:58:37.230-0600","2023-06-30T04:13:03.684-0500"
"Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2021-04-21T11:42:59.037-0500","2023-06-30T04:13:03.684-0500"
"Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2020-11-11T17:59:12.698-0600","2023-06-30T04:13:03.684-0500"
"Generic Service Request Fulfilment workflow for Jira Service Desk","2020-11-11T18:00:01.010-0600","2023-06-30T04:13:03.684-0500"
"Generic - Service request workflow with optional approval step","2025-12-08T13:42:04.505-0600","2026-05-26T12:18:06.092-0500"
"Generic Simplified Workflow","2019-12-26T14:55:04.962-0600","2026-02-19T15:56:00.434-0600"
"Generic Simplified Workflow (with Code Review, and QA)","2025-07-25T13:53:32.317-0500","2025-07-25T13:53:32.317-0500"
"Generic Simplified Workflow (with Code Review and Ready for Deployment)","2024-05-20T11:03:42.166-0500","2024-05-20T11:04:02.960-0500"
"Generic Simplified Workflow (with Code Review and UAT)","2021-05-05T17:07:38.511-0500","2021-05-05T17:10:08.703-0500"
"Generic Simplified Workflow (with Code Review, Branch Testing, Ready for Merge, QA, UAT)","2023-09-11T10:49:38.401-0500","2023-09-11T10:49:47.983-0500"
"Generic Simplified Workflow (with Code Review, Branch Testing, Ready for Merge, QA, UAT, and Ready for Deployment)","2023-04-26T12:29:55.000-0500","2023-04-26T12:31:23.946-0500"
"Generic Simplified Workflow (with Code Review, QA, and Ready for Deployment)","2020-11-18T13:32:44.992-0600","2020-11-18T13:33:22.148-0600"
"Generic Simplified Workflow (with Code Review, QA, and UAT)","2020-06-03T17:45:44.362-0500","2020-10-14T18:25:06.379-0500"
"Generic Simplified Workflow (with Code Review, QA-Dev, Test, UAT, and Ready for Deployment)","2025-08-22T09:37:17.260-0500","2025-09-25T16:19:10.105-0500"
"Generic Simplified Workflow (with Code Review, QA, QA-Dev, UAT, and Ready for Deployment)","2023-03-07T13:43:24.466-0600","2023-06-08T09:56:44.371-0500"
"Generic Simplified Workflow (with Code Review, QA, Test Case Review, and Ready for Deployment)","2022-10-05T10:37:06.592-0500","2022-10-05T10:40:36.650-0500"
"Generic Simplified Workflow (with Code Review, QA, UAT, and Ready for Deployment)","2020-06-03T17:45:05.804-0500","2022-02-10T14:56:37.863-0600"
"Generic Simplified Workflow (with Code Review, QA, UAT, Pending Remediation, and Ready for Deployment)","2022-06-07T09:44:47.598-0500","2022-06-07T10:01:51.049-0500"
"Generic Simplified Workflow (with Code Review, Ready for Merge, QA, UAT, and Ready for Deployment)","2023-04-04T10:33:44.953-0500","2023-04-04T10:35:54.514-0500"
"Generic Simplified Workflow (with Code Review, Ready for Merge, QA, UAT, Pending Remediation, and Ready for Deployment)","2023-04-12T11:06:23.104-0500","2023-04-12T11:06:23.104-0500"
"Generic Simplified Workflow (with Code Review, UAT, and Ready for Deployment)","2023-01-05T13:45:49.676-0600","2023-01-05T13:46:03.874-0600"
"Generic Simplified Workflow (with Deployed)","2023-09-12T12:33:08.443-0500","2023-09-12T12:35:23.591-0500"
"Generic Simplified Workflow (with QA)","2020-06-04T10:27:18.194-0500","2020-10-14T18:25:06.379-0500"
"Generic Simplified Workflow (with QA and Ready for Deployment)","2021-05-04T15:07:05.454-0500","2021-05-04T15:10:45.590-0500"
"Generic Simplified Workflow (with QA and UAT)","2021-09-21T11:02:21.474-0500","2021-09-21T11:02:49.430-0500"
"Generic Simplified Workflow (with QA, UAT, and Ready for Deployment)","2021-04-22T10:02:04.121-0500","2021-04-22T10:02:19.088-0500"
"Generic Simplified Workflow (with Ready for Deployment)","2021-12-07T12:45:57.655-0600","2021-12-07T12:46:19.483-0600"
"Generic Simplified Workflow (with Stakeholder Review)","2025-07-10T14:11:38.089-0500","2025-07-10T14:12:02.058-0500"
"Generic Simplified Workflow (with UAT)","2023-11-29T15:06:12.640-0600","2023-11-29T15:06:33.068-0600"
"Generic Simplified Workflow (with UAT, and Ready for Deployment)","2022-09-13T13:01:20.948-0500","2022-09-13T13:01:32.301-0500"
"Generic Simplified Workflow (with UAT, and Stakeholder Review)","2023-06-28T13:27:26.069-0500","2023-06-28T13:27:26.069-0500"
"Generic Simplified Workflow (with UI Design, Research,Code Review, Ready for Merge, QA, UAT, and Ready for Deployment)","2024-03-11T14:35:15.331-0500","2024-03-12T15:51:56.269-0500"
"Governance Risk Compliance Workflow","2020-07-14T16:37:31.637-0500","2020-11-13T15:14:02.774-0600"
"Information Security_WF_1/5/18","2020-07-23T10:34:35.707-0500","2020-10-14T18:25:06.379-0500"
"Infra Workflow - System Team","2020-07-23T10:20:01.056-0500","2020-10-14T18:25:06.379-0500"
"IT1234: Change Management workflow for Jira Service Desk","2020-09-21T20:42:19.287-0500","2020-10-14T18:25:06.379-0500"
"IT1234: Incident Management workflow for Jira Service Desk","2020-09-21T20:42:19.417-0500","2020-10-14T18:25:06.379-0500"
"IT1234: Jira Service Desk default workflow","2020-09-21T20:42:19.694-0500","2020-10-14T18:25:06.379-0500"
"IT1234: Problem Management workflow for Jira Service Desk","2020-09-21T20:42:19.555-0500","2020-10-14T18:25:06.379-0500"
"IT1234: Service Request Fulfilment with Approvals workflow for Jira Service Desk","2020-09-21T20:42:19.111-0500","2020-10-14T18:25:06.379-0500"
"IT1234: Service Request Fulfilment workflow for Jira Service Desk","2020-09-21T20:42:18.959-0500","2020-10-14T18:25:06.379-0500"
"jira","1969-12-31T18:00:00.000-0600","1969-12-31T18:00:00.000-0600"
"jira (migrated)","2024-12-09T21:34:47.343-0600","2024-12-09T21:34:47.343-0600"
"LogicGate Sync Workflow","2024-04-11T13:18:23.033-0500","2026-03-31T16:31:05.155-0500"
"MCAE Workflow","2025-01-14T10:54:45.293-0600","2026-01-28T09:05:02.331-0600"
"No Required Epic - (real)CUSTOMIZED Simplified Workflow (with Code Review, QA-Dev, QA, UAT, and Ready for Deployment)","2023-02-22T11:19:26.321-0600","2023-02-22T11:19:26.321-0600"
"OMI1121: Change Management workflow for Jira Service Management","2025-10-15T11:32:57.115-0500","2025-10-15T11:32:57.193-0500"
"OMI1121: Incident Management workflow for Jira Service Management","2025-10-15T11:32:57.311-0500","2025-10-15T11:32:57.388-0500"
"OMI1121: Jira Service Management default workflow","2025-10-15T11:32:57.715-0500","2025-10-15T11:32:57.787-0500"
"OMI1121: Post-Incident Review workflow for Jira Service Management","2025-10-15T11:32:57.904-0500","2025-10-15T11:32:57.969-0500"
"OMI1121: Problem Management workflow for Jira Service Management","2025-10-15T11:32:57.497-0500","2025-10-15T11:32:57.588-0500"
"OMI1121: Service Request Fulfilment with Approvals workflow for Jira Service Management","2025-10-15T11:32:56.814-0500","2025-10-15T11:32:56.936-0500"
"OMI1121: Service Request Fulfilment workflow for Jira Service Management","2025-10-15T11:32:56.538-0500","2025-10-15T11:32:56.684-0500"
"PMEN: Task Management Workflow","2021-07-15T17:26:58.641-0500","2021-07-15T17:37:07.640-0500"
"PMO: Risk Workflow","2026-02-19T15:34:13.647-0600","2026-02-19T15:47:08.007-0600"
"PPC: Default Request","2025-04-23T14:40:20.142-0500","2025-04-28T11:13:19.102-0500"
"PPC: General request workflow for Jira Service Management","2025-04-23T14:28:55.332-0500","2025-04-23T14:28:55.495-0500"
"PPC: Jira Service Management default workflow","2025-04-23T14:28:55.670-0500","2025-04-23T14:28:55.758-0500"
"PROPROJ: Project Management Workflow","2021-12-07T11:41:39.781-0600","2021-12-07T11:41:40.419-0600"
"(real)Customized Bug Workflow (with Code Review, QA, UAT, and Ready for Deployment)","2023-01-05T11:48:48.344-0600","2023-02-22T12:40:14.050-0600"
"(real)CUSTOMIZED Simplified Workflow (with Code Review, QA-Dev, QA, UAT, and Ready for Deployment)","2023-01-05T11:51:57.518-0600","2023-02-22T12:42:02.685-0600"
"(real)Generic - 3-Step (1-Approve) JSM Service Request Fulfilment","2023-06-08T10:11:18.200-0500","2025-02-28T11:45:09.663-0600"
"(real)Generic Incident Management workflow for Jira Service Desk v2","2023-06-08T10:09:36.349-0500","2023-06-08T10:10:32.315-0500"
"(real)Generic Problem Management workflow for Jira Service Desk v2","2023-06-08T10:05:59.695-0500","2023-06-08T10:07:07.263-0500"
